model,mae,rmse,r2,pr_auc_30,roc_auc_30,recall_at_5fpr_30,brier_30,spearman_within_year,top_decile_prec_within_year
vol_only,0.1385959372811015,0.18200461516047126,0.24593871503350495,0.8289821700467087,0.7855955179706644,0.38215130023640664,0.49381432358085037,0.6367208280707671,0.4299379909811137
ridge_a10,0.12439877191126661,0.16154846050606791,0.40591650090402187,0.8526548151863564,0.8045410533500483,0.4455082742316785,0.3654312248947995,0.6565348000792715,0.47319024699119117
sklearn_gbr,0.12264519526392162,0.1620884685340434,0.4019381770829271,0.8503728534297688,0.8008993700079331,0.43782505910165487,0.20744195533801374,0.6627489671799909,0.4894562266648857
lstm_fusion_ensemble,0.12141153053053604,0.16097828211767345,0.41010268501487923,0.8521974783794835,0.8025841941936658,0.4466903073286052,0.2262862995074167,0.6655593197448426,0.4865351541964407
mlp_fusion_ensemble,0.12201742374852624,0.16011543603999623,0.4164094548361692,0.8490133961311883,0.8008453667442726,0.43652482269503545,0.21680860849576608,0.6563425284778792,0.4754758069959959
fin_only_ensemble,0.1315919905540859,0.17479207503643637,0.304518921984948,0.818028791279813,0.7666371632862004,0.3648936170212766,0.2406879295454323,0.5753465519509927,0.4615884260887127
price_only_ensemble,0.1286871290358344,0.1696042238597141,0.3451902007094839,0.8349757355393462,0.7892151427911855,0.39444444444444443,0.217433232769789,0.6465187877675956,0.44168522460861814
cross_attn_fusion_ensemble,0.12395622473555351,0.1643455717034595,0.38516602880300665,0.8475019977408811,0.7986960886109015,0.4271867612293144,0.22915103193230657,0.6586932279937041,0.4783864438936949
