model,mae,rmse,r2,pr_auc_30,roc_auc_30,recall_at_5fpr_30,brier_30,spearman_within_year,top_decile_prec_within_year
vol_only,0.1385959372811015,0.18200461516047126,0.24593871503350495,0.8289821700467087,0.7855955179706644,0.38215130023640664,0.49381432358085037,0.6367208280707671,0.4299379909811137
ridge_a10,0.12439877191126661,0.16154846050606791,0.40591650090402187,0.8526548151863564,0.8045410533500483,0.4455082742316785,0.3654312248947995,0.6565348000792715,0.47319024699119117
sklearn_gbr,0.12264519526392162,0.1620884685340434,0.4019381770829271,0.8503728534297688,0.8008993700079331,0.43782505910165487,0.20744195533801374,0.6627489671799909,0.4894562266648857
lstm_fusion,0.12347865365014958,0.16269019414925642,0.39748953125692654,0.837710729727265,0.7906144225636332,0.3875886524822695,0.22830861017335471,0.642197274229583,0.4821406827859943
mlp_fusion,0.12320697974932122,0.1607975224358942,0.4114267118743705,0.8473769602275932,0.8008603858628083,0.44728132387706854,0.20171682873706068,0.659285927197715,0.4295221161501946
fin_only,0.12798659170614451,0.16983653735523543,0.34339513531502774,0.8251790878365587,0.7732829291370209,0.37458628841607566,0.24387906638881876,0.586440407597018,0.4668786326076362
price_only,0.1276717553972754,0.1689141213990226,0.35050806962286574,0.8370134286073249,0.7899566869670629,0.40023640661938537,0.23136209677251543,0.64670458383121,0.4503046593109098
cross_attn_fusion,0.12301108068040519,0.16262999989007965,0.3979352982818747,0.8436092279459643,0.7943124470103758,0.4068557919621749,0.24354815981002875,0.6515297873750185,0.4816847836824521
