model,pr_auc_50,roc_auc_50,recall_at_5fpr_50,brier_50,base_rate_50
vol_only,0.6407896994198836,0.8320550380903002,0.38078016016533195,0.21996921784288284,0.25282476650773955
ridge_a10,0.6935870356893924,0.8535200333120768,0.4626711444071299,0.17005672733710872,0.25282476650773955
sklearn_gbr,0.6951263627182509,0.8503388338605337,0.4843709635753035,0.16012608514183754,0.25282476650773955
lstm_fusion,0.6869383885938648,0.843266814559762,0.45182123482304315,0.13856801029656968,0.25282476650773955
mlp_fusion,0.6711459058642646,0.8496519755109266,0.42521312322397314,0.1540081218692379,0.25282476650773955
fin_only,0.6649452313228464,0.8274848456245383,0.4365796951692069,0.13854682775858354,0.25282476650773955
price_only,0.6588006710502065,0.8364983682682597,0.40273831051407905,0.14431067772926826,0.25282476650773955
cross_attn_fusion,0.690968500069052,0.8459358566388404,0.4652544562128649,0.13168019050757787,0.25282476650773955
