model,pr_auc_50,roc_auc_50,recall_at_5fpr_50,brier_50,base_rate_50
vol_only,0.6407896994198836,0.8320550380903002,0.38078016016533195,0.21996921784288284,0.25282476650773955
ridge_a10,0.6935870356893924,0.8535200333120768,0.4626711444071299,0.17005672733710872,0.25282476650773955
sklearn_gbr,0.6951263627182509,0.8503388338605337,0.4843709635753035,0.16012608514183754,0.25282476650773955
lstm_fusion_ensemble,0.7008673968178756,0.8535466793604226,0.4812709894084216,0.13323584039219946,0.25282476650773955
mlp_fusion_ensemble,0.6935640449406699,0.8516727169756104,0.4706794110049083,0.13952586757022437,0.25282476650773955
fin_only_ensemble,0.6582677604392307,0.824693457537038,0.42469646086282614,0.14245823346246567,0.25282476650773955
price_only_ensemble,0.6512577493900733,0.8349539813712508,0.3887884267631103,0.1551184901789902,0.25282476650773955
cross_attn_fusion_ensemble,0.6954606132111831,0.8484328284735155,0.4745543787135107,0.13601525971028758,0.25282476650773955
