model,mae,mae_std,pr_auc_30,pr_auc_30_std,pr_auc_50,pr_auc_50_std,spearman_within_year,spearman_within_year_std,top_decile_prec_within_year,top_decile_prec_within_year_std
lstm_fusion,0.12229310141680194,0.0010037194619869974,0.8480893738688087,0.007383768332762605,0.6938537225347239,0.007488676566358174,0.6591585557971976,0.012024704745352884,0.47605988975567276,0.010457368619776669
mlp_fusion,0.12351827021604929,0.00024744541319230215,0.8428236674929267,0.004262501792094932,0.6791150292364612,0.005707113844668954,0.6448166286322325,0.011642447319034719,0.4612480251530557,0.023374513318371273
fin_only,0.1322448562629633,0.0033100080197319766,0.8137852697266208,0.011740085479513279,0.6517256905213294,0.011437411929139017,0.5708434352924533,0.019050678980929367,0.45827272922537327,0.006120318383719052
price_only,0.12897173985308477,0.0009358035285512645,0.8338848730291053,0.002537243423232674,0.6492996635586349,0.007901011171363161,0.6450017369321425,0.0019331581007317614,0.445125941026256,0.006394184704563781
cross_attn_fusion,0.12449235686214788,0.0010475402788929643,0.8452672571680196,0.0035623746873054683,0.6910132185123091,0.003395532937609614,0.6544202678134857,0.006177085929138727,0.47913316322763944,0.002474560164805154
