model,mae,rmse,r2,pr_auc,brier,spearman,top_decile_prec
Baseline 0 — Vol Only,0.15323414865621363,0.20912347941351517,0.16640965415438203,0.868938502716442,0.5731619367769426,0.6476511997097711,0.9647435897435898
Baseline 1 — Ridge,0.16921843899481304,0.21833033320473783,0.09139475573911193,0.8367991437419546,0.3305945701308316,0.5552728182512766,0.9572649572649573
Baseline 2 — XGBoost,0.16598145355720542,0.20311137822558728,0.21365054485520352,0.8530569320897993,0.3177275061607361,0.5978537800388297,0.9631410256410257
